,Date,Train Predict,Test Predict
218,2017-12-21,17373.146484375,
219,2017-12-22,16628.052734375,
220,2017-12-23,15932.12109375,
221,2017-12-24,14084.564453125,
222,2017-12-25,13873.6025390625,
223,2017-12-26,13645.21484375,
224,2017-12-27,13833.236328125,
225,2017-12-28,15132.943359375,
226,2017-12-29,15115.3857421875,
227,2017-12-30,14657.7216796875,
228,2017-12-31,14582.3310546875,
229,2018-01-01,13020.810546875,
230,2018-01-02,13284.849609375,
231,2018-01-03,13177.2548828125,
232,2018-01-04,14241.5107421875,
233,2018-01-05,14525.646484375,
234,2018-01-06,14910.203125,
235,2018-01-07,16277.0615234375,
236,2018-01-08,16492.8515625,
237,2018-01-09,16115.6982421875,
238,2018-01-10,15205.5419921875,
239,2018-01-11,14656.4287109375,
240,2018-01-12,14721.4833984375,
241,2018-01-13,13521.361328125,
242,2018-01-14,13546.3388671875,
243,2018-01-15,13823.6396484375,
244,2018-01-16,13633.1552734375,
245,2018-01-17,13701.5859375,
246,2018-01-18,11531.109375,
247,2018-01-19,10909.85546875,
248,2018-01-20,11097.697265625,
249,2018-01-21,11450.8486328125,
250,2018-01-22,12293.716796875,
251,2018-01-23,11755.97265625,
252,2018-01-24,11387.4267578125,
253,2018-01-25,11224.7158203125,
254,2018-01-26,11445.0478515625,
255,2018-01-27,11386.8134765625,
256,2018-01-28,11374.8955078125,
257,2018-01-29,11518.7470703125,
258,2018-01-30,11699.818359375,
259,2018-01-31,11513.65234375,
260,2018-02-01,10502.265625,
261,2018-02-02,10341.0166015625,
262,2018-02-03,9693.8994140625,
263,2018-02-04,9481.3916015625,
264,2018-02-05,9629.2275390625,
265,2018-02-06,8954.990234375,
266,2018-02-07,7945.408203125,
267,2018-02-08,8450.751953125,
268,2018-02-09,8289.9794921875,
269,2018-02-10,8800.8466796875,
270,2018-02-11,9149.9091796875,
271,2018-02-12,9219.9111328125,
272,2018-02-13,8807.5283203125,
273,2018-02-14,9219.7783203125,
274,2018-02-15,9163.75,
275,2018-02-16,9589.9609375,
276,2018-02-17,9975.896484375,
